assignments_id,title,description,due_date,submitted_code_mark,oral_mark
985801,Programming Best Practices,Elaborate on the topic.,7/29/2021,100,70
986802,Object Oriented Programming,Elaborate on the topic.,6/7/2021,100,55
987803,Being a Computer Programmer,Elaborate on the topic.,7/3/2021,100,40
988804,An Analysis of the Profession of a Software Programmer,Elaborate on the topic.,5/10/2021,100,30
989805,A Focus on the Career of a Software Programmer,Elaborate on the topic.,8/28/2021,100,20
990806,An Analysis of the Requirements of Being a Programmer,Elaborate on the topic.,7/27/2021,100,60
991807,The Great Deal in Training and Education for Programmers,Elaborate on the topic.,9/8/2021,100,90
992808,An Introduction to the Work of Computer Programmers,Elaborate on the topic.,8/18/2021,100,50
993809,Exploring the Career of a Computer Programmer,Elaborate on the topic.,7/23/2021,100,45
994810,An Introduction to Javascript Programming Language,Elaborate on the topic.,7/7/2021,100,25
995811,An Introduction to C Programming Language,Elaborate on the topic.,6/5/2021,100,35
996812,An Introduction to Java Programming Language,Elaborate on the topic.,6/18/2021,100,45
997813,An Introduction to Python Programming Language,Elaborate on the topic.,6/29/2021,100,65
998814,A History of Javascript as a Computer Programming Language,Elaborate on the topic.,8/5/2021,100,85
999815,A History of Java as a Computer Programming Language,Elaborate on the topic.,7/8/2021,100,60
1000816,A History of Python as a Computer Programming Language,Elaborate on the topic.,6/26/2021,100,90
1001817,A History of C# as a Computer Programming Language,Elaborate on the topic.,7/19/2021,100,25
1002818,An Analysis of the C# Programming Language,Elaborate on the topic.,7/6/2021,100,50
1003819,Validate Phone Numbers,Elaborate on the topic.,7/20/2021,100,10
1004820,Find the most frequent element in an array,Elaborate on the topic.,9/26/2021,100,15
1005821,Phone Letter combinations,Elaborate on the topic.,6/13/2021,100,15
